tag,8740_val,8742_val,8743_val,8744_val,8740,8742,8743,8744,#pos
Mb3342c_143,0.0485,0.4055,0.247,-0.0545,-,positive,positive,-,2
Mb3342c_80,0.044,0.065,0.0555,-0.0095,-,-,-,-,0
Mb3348_182,0.0655,0.0515,0.072,0.004,-,-,-,-,0
Mb3391c_33,0.0805,0.0525,0.0585,0.0005,-,-,-,-,0
Mb3422_23,0.0645,0.255,0.379,-0.011,-,positive,positive,-,2
Mb3422_98,0.0465,0.106,0.1945,-0.004,-,-,positive,-,1
Mb3473c_210,0.0485,0.0615,0.0685,-0.0055,-,-,-,-,0
Mb3473c_211,0.095,0.049,0.056,0.013,-,-,-,-,0
Mb3473c_212,0.0795,0.05,0.0635,0.001,-,-,-,-,0
Mb3473c_213,0.0785,0.049,0.056,0.009,-,-,-,-,0
Mb3484c_41,0.0565,0.1465,0.0795,0.0085,-,-,-,-,0
Mb3486c_208,0.0465,0.06,0.11,-0.009,-,-,-,-,0
Mb3486c_209,0.048,0.118,0.3215,-0.009,-,-,positive,-,1
Mb3492_115,0.2495,0.6005,0.56,0.006,positive,positive,positive,-,3
Mb3493_75,0.0465,0.0545,0.124,-0.003,-,-,-,-,0
Mb3550c_116,0.0455,0.0545,0.054,-0.0095,-,-,-,-,0
Mb3558c_104,0.4675,0.8615,0.387,0.1105,positive,positive,positive,positive,4
Mb3565c_154,0.048,0.137,0.079,-0.012,-,-,-,-,0
Mb3576_173,0.046,0.061,0.0585,-0.004,-,-,-,-,0
Mb3606c_79,0.062,0.0605,0.054,-0.006,-,-,-,-,0
Mb3615_263,0.25,0.301,0.656,0.025,positive,positive,positive,-,3
Mb3615_264,0.0465,0.053,0.066,-0.0055,-,-,-,-,0
Mb3615_265,0.525,0.878,0.818,0.0705,positive,positive,positive,-,3
Mb3619c_168,0.0805,0.0725,0.0775,0,-,-,-,-,0
Mb3633c_51,0.449,0.956,0.445,0.0775,positive,positive,positive,-,3
Mb3639c_183,0.053,0.0645,0.0595,0.0005,-,-,-,-,0
Mb3644c_78,0.055,0.2225,0.1505,-0.006,-,positive,-,-,1
Mb3675_57,0.069,0.053,0.0815,0.0045,-,-,-,-,0
Mb3694_184,0.7875,0.0565,0.064,0.0055,positive,-,-,-,1
Mb3695c_40,0.058,0.0505,0.056,-0.0015,-,-,-,-,0
Mb3700_198,0.4355,0.693,0.858,0.011,positive,positive,positive,-,3
Mb3700_199,0.0545,0.081,0.0855,-0.004,-,-,-,-,0
Mb3700_200,0.9865,1.587,1.426,0.182,positive,positive,positive,positive,4
Mb3700_201,0.151,0.5575,0.6025,0.0035,positive,positive,positive,-,3
Mb3705_31,0.0555,0.141,0.069,-0.003,-,-,-,-,0
Mb3717_117,0.0665,0.048,0.0565,0.0035,-,-,-,-,0
Mb3735c_29,0.0505,0.0515,0.0595,0.0035,-,-,-,-,0
Mb3744_76,0.0495,0.0525,0.054,0.002,-,-,-,-,0
Mb3758_39,0.169,0.14,0.1655,0.0145,positive,-,positive,-,2
Mb3759_169,1.445,3.248,1.3425,0.383,positive,positive,positive,positive,4
Mb3759_185,0.097,0.0525,0.0835,0.004,-,-,-,-,0
Mb3791c_71,0.056,0.4345,0.247,-0.0105,-,positive,positive,-,2
Mb3820_105,0.0465,0.1125,0.14,0.0055,-,-,-,-,0
Mb3844c_186,0.0465,0.056,0.0655,-0.011,-,-,-,-,0
Mb3876_8,0.051,0.079,0.066,0.0075,-,-,-,-,0
Mb3886c_170,0.0645,0.303,0.217,-0.0015,-,positive,positive,-,2
Mb3893_120,1.1175,2.073,2.665,0.2295,positive,positive,positive,positive,4
Mb3947c_171,0.0515,0.079,0.091,0,-,-,-,-,0
Mb3948c_139,0.0495,0.0575,0.0665,-0.0105,-,-,-,-,0
Mb3949c_174,0.0455,0.0525,0.0675,-0.0025,-,-,-,-,0
Mb3952c_144,0.0965,0.0605,0.143,0.0045,-,-,-,-,0
Mb3952c_26,0.2045,0.642,0.555,0.038,positive,positive,positive,-,3
